23,US 218 SB Passing Deck,T79N,7,R06W,Iowa City US 218,RIAI4,41.6575,-91.5988,833,JOHNSON,US 218,93.7,556607,Coralville,6,52,2,-06:00,10
24,I-80 EB Driving Deck,T80N,31,R06W,Iowa City I-80,RIOI4,41.6891,-91.5812,819,JOHNSON,I-80,242.15,556607,Coralville,6,52,0,-06:00,199
24,I-80 WB Driving Pavement,T80N,31,R06W,Iowa City I-80,RIOI4,41.6891,-91.5812,819,JOHNSON,I-80,242.15,556607,Coralville,6,52,1,-06:00,20
24,I-80 WB Passing Deck,T80N,31,R06W,Iowa City I-80,RIOI4,41.6891,-91.5812,819,JOHNSON,I-80,242.15,556607,Coralville,6,52,2,-06:00,10
25,IA 4 NB Driving Pavement,T84N,30,R30W,Jefferson,RJFI4,42.051833,-94.3783,1016,GREENE,IA 4,25.1,551613,Jefferson,1,37,0,-06:00,20
25,IA 4 SB Driving Deck,T84N,30,R30W,Jefferson,RJFI4,42.051833,-94.3783,1016,GREENE,IA 4,25.1,551613,Jefferson,1,37,1,-06:00,10
26,I-35 NB Driving Pavement,T69N,34,R26W,Leon,RLEI4,40.738667,-93.8417,1145,DECATUR,I-35,119.2,555627,Leon,5,27,0,-06:00,21
26,I-35 SB Passing Pavement,T69N,34,R26W,Leon,RLEI4,40.738667,-93.8417,1145,DECATUR,I-35,119.2,555627,Leon,5,27,1,-06:00,20
26,IA 2 EB Driving Deck,T69N,34,R26W,Leon,RLEI4,40.738667,-93.8417,1145,DECATUR,IA 2,119.2,555627,Leon,5,27,2,-06:00,10
27,US 20 EB Driving Deck,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,0,-06:00,11
27,US 20 EB Passing Pavement,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,1,-06:00,299
27,US 20 WB Driving Pavement,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,2,-06:00,20
27,US 20 WB Passing Deck,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,3,-06:00,10
28,US 61 NB Driving Deck,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,158.95,556808,Maquoketa,6,49,0,-06:00,11
28,US 61 SB Driving Pavement,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,158.95,556808,Maquoketa,6,49,1,-06:00,20
28,US 61 SB Passing Deck,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,158.95,556808,Maquoketa,6,49,2,-06:00,10
28,US 64 EB Passing Pavement,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 64,158.95,556808,Maquoketa,6,49,3,-06:00,21
29,US 30 EB Driving Deck,T83N,17,R18W,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,182.8,551604,Marshalltown,1,64,0,-06:00,11
29,US 30 WB Driving Pavement,T83N,17,R18W,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,182.8,551604,Marshalltown,1,64,1,-06:00,20
29,US 30 WB Passing Deck,T83N,17,R18W,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,182.8,551604,Marshalltown,1,64,2,-06:00,10
30,I-35 NB Driving Deck,T95N,20,R21W,Mason City,RMCI4,43.038,-93.3418,1235,CERRO GORDO,I-35,186.6,552617,Mason City,2,17,0,-06:00,10
30,I-35 NB Driving Pavement,T95N,20,R21W,Mason City,RMCI4,43.038,-93.3418,1235,CERRO GORDO,I-35,186.6,552617,Mason City,2,17,1,-06:00,20
30,I-35 NB Passing Deck,T95N,20,R21W,Mason City,RMCI4,43.038,-93.3418,1235,CERRO GORDO,I-35,186.6,552617,Mason City,2,17,2,-06:00,10
30,I-35 SB Driving Deck,T95N,20,R21W,Mason City,RMCI4,43.038,-93.3418,1235,CERRO GORDO,I-35,186.6,552617,Mason City,2,17,3,,
31,I-29 NB Driving Deck,T78N,20,R44W,Missouri Valley,RMVI4,41.5495,-95.9173,1015,HARRISON,I-29,75.7,554810,Missouri Valley,4,43,0,-06:00,11
31,I-29 NB Driving Pavement,T78N,20,R44W,Missouri Valley,RMVI4,41.5495,-95.9173,1015,HARRISON,I-29,75.7,554810,Missouri Valley,4,43,1,-06:00,20
31,I-29 SB Passing Deck,T78N,20,R44W,Missouri Valley,RMVI4,41.5495,-95.9173,1015,HARRISON,I-29,75.7,554810,Missouri Valley,4,43,2,-06:00,10
32,US 218 NB Driving Pavement,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,38.3,555844,Mount Pleasant,5,44,0,-06:00,20
32,US 218 SB Driving Deck,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,38.3,555844,Mount Pleasant,5,44,1,-06:00,10
33,US 18 WB Driving Pavement,T95N,2,R14W,New Hampton,RNHI4,43.067167,-92.4592,1072,CHICKASAW,US 18,223.95,552819,New Hampton,2,19,0,-06:00,20
33,US-18 EB Driving Deck,T95N,2,R14W,New Hampton,RNHI4,43.067167,-92.4592,1072,CHICKASAW,US 18,223.95,552819,New Hampton,2,19,1,-06:00,10
34,I-29 NB Passing Deck,T85N,17,R46W,Sloan,RONI4,42.1713,-96.2295,995,MONONA,I-29,123.5,553607,Sloan,3,67,0,-06:00,11
34,I-29 SB Driving Deck,T85N,17,R46W,Sloan,RONI4,42.1713,-96.2295,995,MONONA,I-29,123.5,553607,Sloan,3,67,1,-06:00,10
35,US 34 EB Bridge Deck,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,114.3,555620,Osceola,5,20,0,-06:00,10
